OID_,u,v,key,osmid,geom_Length,ZMax44mm,ZMean44mm,ZLength44mm,ZMax54mm,ZMean54mm,ZLength54mm,ZMax71mm,ZMean71mm,ZLength71mm,ZMax86mm,ZMean86mm,ZLength86mm,ZMax20mm,ZMean20mm,ZLength20mm,ZMax198mm,ZMean198mm,ZLength198mm
3015,2157,1203,0,"[67519017, 4882201]",242.175406108692897,0.111794822090252,0.062930055194793,7.869204942358084,0.111794822090252,0.062930055194793,7.869204942358084,0.111794822090252,0.062930055194793,7.869204942358084,0.111794822090252,0.062930055194793,7.869204942358084,0.111794822090252,0.062930055194793,7.869204942358084,0.111794822090252,0.062930055194793,7.869204942358084
3016,2157,804,0,"[130681796, 120085101]",81.874229481958224,0.099382857582181,0.059553280191102,11.827950335090936,0.099382857582181,0.059553280191102,11.827950335090936,0.099382857582181,0.059553280191102,11.827950335090936,0.099382857582181,0.059553280191102,11.827950335090936,0.099382857582181,0.059553280191102,11.827950335090936,0.099382857582181,0.059553280191102,11.827950335090936
3017,2157,802,0,"[130681802, 190903189, 190903190]",118.784676774552935,0.102260680135448,0.036665739303016,32.696341008847689,0.102260680135448,0.036665739303016,32.696341008847689,0.102260680135448,0.036665739303016,32.696341008847689,0.102260680135448,0.036665739303016,32.696341008847689,0.102260680135448,0.036665739303016,32.696341008847689,0.102260680135448,0.036665739303016,32.696341008847689
3018,804,805,0,"[94550392, 94550403]",153.437540886071730,,,,,,,,,,,,,,,,,,
3019,804,2157,0,130681809,89.731821337887411,0.099382857582181,0.079197969139574,3.646807453145814,0.099382857582181,0.079197969139574,3.646807453145814,0.099382857582181,0.079197969139574,3.646807453145814,0.099382857582181,0.079197969139574,3.646807453145814,0.099382857582181,0.079197969139574,3.646807453145814,0.099382857582181,0.079197969139574,3.646807453145814
3020,805,806,0,94550386,71.187413213529922,,,,,,,,,,,,,,,,,,
3021,805,804,0,"[94550392, 94550403]",153.437540886071730,,,,,,,,,,,,,,,,,,
3022,806,1203,0,4689781,252.461778895763615,,,,,,,,,,,,,,,,,,
3023,806,2159,0,89697585,83.082967851111789,,,,,,,,,,,,,,,,,,
3024,806,805,0,177918450,70.614633196134932,,,,,,,,,,,,,,,,,,
3025,2159,2158,0,177918440,41.641102209831431,,,,,,,,,,,,,,,,,,
3026,2159,806,0,"[177918441, 177918444]",81.071196538180700,,,,,,,,,,,,,,,,,,
3027,807,36,0,"[43301701, 26344503]",364.214737951883819,,,,,,,,,,,,,,,,,,
3028,2273,824,0,"[132933320, 100720307, 132932901]",760.956660483208225,,,,,,,,,,,,,,,,,,
3029,809,1736,0,"[304920093, 51194571, 51194572, 30016270, 125351192, 306528028, 306528029]",1218.094206349045862,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915
3030,809,2266,0,"[575076322, 575076319]",345.856511438312225,0.172376518750810,0.075394227571656,78.537427326594766,0.172376518750810,0.075394227571656,78.537427326594766,0.172376518750810,0.075394227571656,78.537427326594766,0.172376518750810,0.075394227571656,78.537427326594766,0.043681245275280,0.022837746667369,15.601558000547922,0.172376518750810,0.075394227571656,78.537427326594766
3031,809,1479,0,29498975,186.042188877505168,0.262588581756259,0.126937751632030,86.913338850595366,0.262588581756259,0.126937751632030,86.913338850595366,0.262588581756259,0.126937751632030,86.913338850595366,0.262588581756259,0.126937751632030,86.913338850595366,0.197901806548739,0.087779307290569,73.779386214976398,0.262588581756259,0.119008134158645,113.236010623383891
3032,1736,809,0,"[304920093, 51194571, 51194572, 30016270, 125351192, 306528028, 306528029]",1218.094206349046090,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915,0.066775627672489,0.022761505465609,78.702157935192915
3033,2266,809,0,"[360725418, 134239747]",338.567548683040116,0.150573579833110,0.063214581853056,85.243627781631389,0.150573579833110,0.063214581853056,85.243627781631389,0.150573579833110,0.063214581853056,85.243627781631389,0.150573579833110,0.063214581853056,85.243627781631389,0.066099762315766,0.017922657331541,26.333718037805902,0.150573579833110,0.063214581853056,85.243627781631389
3034,2266,1478,0,"[575076320, 360725419, 125351124]",123.518481397189902,,,,,,,,,,,,,,,,,,
3035,1479,809,0,29498975,186.042188877505168,0.262588581756259,0.126937751632030,86.913338850595352,0.262588581756259,0.126937751632030,86.913338850595352,0.262588581756259,0.126937751632030,86.913338850595352,0.262588581756259,0.126937751632030,86.913338850595352,0.197901806548739,0.087779307290569,73.779386214976412,0.262588581756259,0.119008134158645,113.236010623383862
3036,1479,1480,0,"[125351208, 60613344]",88.400352048598506,,,,,,,,,,0.065161246592725,0.025840249626597,5.429622990743241,,,,0.757828552062238,0.402113778630129,88.406305982086678
3037,1693,810,0,23284898,626.643565304904314,,,,,,,,,,,,,,,,,,
3038,811,636,0,"[207577411, 207577412, 207577417, 207573103, 207573104, 41763282]",763.923650146277623,,,,,,,,,,,,,,,,,,
3039,815,891,0,284917913,107.391760261670896,,,,,,,,,,,,,,,,,,
3040,815,820,0,284917960,90.223614545594216,,,,,,,,,,,,,,,,,,
3041,891,815,0,284917913,107.391760261670868,,,,,,,,,,,,,,,,,,
3042,891,2069,0,"[4706328, 750401324]",273.306676232257701,,,,,,,,,,,,,,,,,,
3043,891,2501,0,438551105,141.275111736594170,,,,,,,,,,,,,,,,,,
3044,891,2522,0,438551106,139.091663993249512,,,,,,,,,,,,,,,,,,
3045,820,819,0,284918275,182.150707096288244,,,,,,,,,,,,,,,,,,
3046,820,815,0,284917960,90.223614545594231,,,,,,,,,,,,,,,,,,
3047,817,2322,0,"[146667062, 31923637, 378450534, 582512741]",93.704964514615682,,,,,,,,,,,,,,,,,,
3048,817,2398,0,239491896,122.701882667835918,,,,,,,,,,,,,,,,,,
3049,2322,2321,0,146667064,47.861531573399006,,,,,,,,,,,,,,,,,,
3050,818,819,0,284919294,139.550364850535487,,,,,,,,,,,,,,,,,,
3051,818,890,0,284919296,126.889556217779699,,,,,,,,,,,,,,,,,,
3052,819,820,0,284918275,182.150707096288272,,,,,,,,,,,,,,,,,,
3053,819,818,0,284919294,139.550364850535516,,,,,,,,,,,,,,,,,,
3054,1329,1760,0,"[203219811, 203219812, 28920452, 372180548, 372180549, 74494630, 170698729, 908835885, 34732784, 203218547, 203214324, 203214325, 147122391, 36732506, 28286332]",714.834277981104719,0.005379199981689,0.000000000000000,0.000000000000000,0.005379199981689,0.000000000000000,0.000000000000000,0.005379199981689,0.000000000000000,0.000000000000000,0.005379199981689,0.000000000000000,0.000000000000000,0.005379199981689,0.000000000000000,0.000000000000000,0.005379199981689,0.000000000000000,0.000000000000000
3055,1329,1629,0,"[30257948, 799255207, 128491530, 799540239, 799540240, 26427986, 30690517, 152329980, 17280255]",306.864552636300630,2.686588287353516,0.757603421401404,6.886964299737814,2.686588287353516,0.757603421401404,6.886964299737814,2.686588287353516,0.757603421401404,6.886964299737814,2.686588287353516,0.757603421401404,6.886964299737814,1.750173330307007,0.000000000000000,0.000000000000000,2.686588287353516,0.757603421401404,6.886964299737814
3056,1331,2092,0,"[81150601, 188749067, 74311308, 188749068, 74311311, 355668883, 355668884, 30472603, 75615004, 75392926, 75511072, 75392930, 75392932, 75392935, 42918952, 75392937, 42918953, 42918951, 75392942, 75392947, 220257459, 75392953, 75392954, 333566781, 333566785, 75614914, 75614917, 123975253, 36328407, 82055260, 189765350, 189765351, 8159593, 23786218, 5236092]",1210.025680944406304,0.007804870605469,0.000000000000000,1.876873346334667,0.007804870605469,0.000000000000000,1.876873346334667,0.007804870605469,0.000000000000000,1.876873346334667,0.007804870605469,0.000000000000000,1.876873346334667,0.007804870605469,0.000000000000000,1.876873346334667,0.007804870605469,0.000000000000000,1.876873346334667
3057,1331,1741,0,"[75513849, 58125281, 58125285, 58125293, 58125326, 30262482, 355668882, 58125298, 58125335, 30262521, 58125341]",406.768338080167666,,,,,,,,,,,,,,,,,,
3058,1331,821,0,"[30472602, 58125277, 58125279]",210.996426102125497,,,,,,,,,,,,,,,,,,
3059,822,1329,0,"[799503142, 799503141, 30690518]",143.981004643018167,0.092411041259766,0.052282104339309,26.044886360566903,0.092411041259766,0.052282104339309,26.044886360566903,0.092411041259766,0.052282104339309,26.044886360566903,0.092411041259766,0.052282104339309,26.044886360566903,0.092411041259766,0.052282104339309,26.044886360566903,0.092411041259766,0.052282104339309,26.044886360566903
3060,822,821,0,"[51756314, 74327971, 799503140, 74327977, 74327984, 74327989, 37932873, 37932874, 676058191, 676058193, 30690516, 30242135, 30242139, 23814623, 629015777, 45244139, 126905200, 45290737, 126905205, 44660473, 126905212]",1335.186031303740037,0.405997773359775,0.073325065132616,309.950018997300845,0.456214477966785,0.075474856294838,352.216585424381435,0.534360578011036,0.085589121986971,362.101818424919827,0.597707381199360,0.094614806970898,371.987449167806687,0.259367992828846,0.064147878545569,225.940710260105732,0.878279080341816,0.148244564749799,411.529934518642051
3061,824,336,0,"[314763169, 314763171, 206223080, 60706253, 4417104, 314763166]",307.040485148439700,0.024705366644419,0.013731835398372,7.983952912299504,0.024705366644419,0.013731835398372,7.983952912299504,0.024705366644419,0.013731835398372,7.983952912299504,0.024705366644419,0.013731835398372,7.983952912299504,0.024705366644419,0.013731835398372,7.983952912299504,0.024705366644419,0.013731835398372,7.983952912299504
3062,824,823,0,"[114689524, 132932902]",511.475051014197788,0.501269221305847,0.090709585608375,137.356152760454478,0.578624248504639,0.103091067623778,191.113265643436961,0.696563243865967,0.159478673963444,216.864557719248950,0.789879441261292,0.208981132215982,230.739631709122222,0.263450264930725,0.121408061322510,19.757983730092224,1.212058487477562,0.543509722979011,258.888227173712266
3063,825,996,0,"[577537802, 4682957]",162.512679318532804,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3064,825,994,0,"[94661669, 577537800, 94661674, 38330320, 38330323, 26447703]",472.186167686795159,0.058404603683696,0.031208627635552,63.068940748141266,0.065045432829604,0.033064307988884,68.891176848728733,0.065045432829604,0.033064307988884,68.891176848728733,0.065045432829604,0.033064307988884,68.891176848728733,0.046672510594624,0.015646681780657,43.561110078077270,0.065045432829604,0.033064307988884,68.891176848728733
3065,825,946,0,"[579613562, 4646492]",125.457613245758495,0.093727892629897,0.048693199260790,16.570619333876348,0.093727892629897,0.048693199260790,16.570619333876348,0.093727892629897,0.048693199260790,16.570619333876348,0.093727892629897,0.048693199260790,16.570619333876348,0.093727892629897,0.048693199260790,16.570619333876348,0.093727892629897,0.048693199260790,16.570619333876348
3066,825,995,0,"[577537801, 26447702]",156.250618281646496,,,,,,,,,,,,,,,,,,
3067,996,997,0,28718452,81.037818308359547,,,,,,,,,,,,,,,,,,
3068,996,825,0,"[589023864, 26447643]",159.632363201049827,0.008138656616211,0.001925946563587,3.208901940568364,0.008138656616211,0.001925946563587,3.208901940568364,0.008138656616211,0.001925946563587,3.208901940568364,0.008138656616211,0.001925946563587,3.208901940568364,0.004739761352539,0.001925946563587,3.208901940568364,0.008138656616211,0.001925946563587,3.208901940568364
3069,946,947,0,"[26447645, 4704982, 4704983]",458.178170953708218,,,,,,,,,,,,,,,,,,
3070,946,825,0,"[94661666, 26447647]",125.282735754948618,0.096479741893083,0.066247956017810,35.957308576868122,0.096479741893083,0.066247956017810,35.957308576868122,0.096479741893083,0.066247956017810,35.957308576868122,0.096479741893083,0.066247956017810,35.957308576868122,0.096479741893083,0.066247956017810,35.957308576868122,0.096479741893083,0.066247956017810,35.957308576868122
3071,995,1834,0,47518016,246.555742858276261,0.049226760864258,0.020669648823111,39.160046794673242,0.049226760864258,0.020669648823111,39.160046794673242,0.049226760864258,0.020669648823111,39.160046794673242,0.049226760864258,0.020669648823111,39.160046794673242,0.049226760864258,0.020669648823111,39.160046794673242,0.049226760864258,0.020669648823111,39.160046794673242
3072,995,825,0,"[47518017, 129817902]",153.829450034025797,0.010941505432129,0.007852684308651,7.641772425593763,0.010941505432129,0.007852684308651,7.641772425593763,0.010941505432129,0.007852684308651,7.641772425593763,0.010941505432129,0.007852684308651,7.641772425593763,,,,0.010941505432129,0.007852684308651,7.641772425593763
3073,2317,826,0,"[144331669, 45347982]",445.471362903451109,,,,,,,,,,,,,,,,,,
3074,2317,2069,0,"[284916576, 239454857]",136.508783862401003,,,,,,,,,,,,,,,,,,
3075,827,1891,0,34684240,113.547681142846272,,,,,,,,,,,,,,,,,,
3076,827,2321,0,"[146667068, 518179861, 146667070]",100.865815168355269,,,,,,,,,,,,,,,,,,
3077,1891,1892,0,"[29026057, 605098515, 605098516]",138.239124853165521,,,,,,,,,,,,,,,,,,
3078,1891,827,0,34684240,113.547681142846287,,,,,,,,,,,,,,,,,,
3079,1892,1891,0,49205800,138.861701763558642,,,,,,,,,,,,,,,,,,
3080,1892,828,0,49205801,128.070942213919921,,,,,,,,,,,,,,,,,,
