Origin,Destination,All,Night,Day,Evening
4,198,16,0,12,3
4,199,172,5,131,34
4,External,263,12,210,43
5,1,18,1,16,3
5,2,150,1,114,52
5,3,97,0,76,26
5,4,139,2,101,54
5,5,746,4,625,178
5,6,159,5,107,47
5,7,257,7,163,85
5,8,97,3,73,20
5,9,78,1,64,22
5,10,65,3,62,6
5,11,483,11,374,144
5,12,33,3,26,4
5,13,272,28,194,55
5,14,42,1,35,7
5,15,85,2,63,24
5,16,48,5,30,15
5,17,16,5,6,6
5,18,35,2,23,13
5,19,47,1,40,9
5,20,111,3,96,20
5,21,79,1,47,28
5,22,35,1,26,11
5,23,79,2,53,25
5,24,38,2,28,10
5,25,30,0,21,8
5,26,28,1,23,3
5,27,82,5,54,21
5,28,87,1,59,27
5,29,62,1,59,8
5,30,844,12,673,165
5,31,340,4,273,65
5,32,137,2,106,40
5,33,53,2,43,16
5,34,24,1,18,4
5,35,27,0,21,6
5,36,62,0,51,12
5,37,167,3,140,29
5,38,63,0,55,6
5,39,24,2,14,9
5,40,21,1,12,8
5,41,20,0,12,7
5,42,51,1,37,13
5,43,16,2,12,2
5,44,20,0,17,4
5,45,7,0,6,1
5,46,34,1,19,14
5,47,37,0,36,7
5,48,121,1,88,34
5,49,25,1,21,6
5,50,19,2,12,5
5,51,9,0,5,4
5,52,22,1,13,7
5,53,21,0,15,6
5,54,3,0,3,0
5,55,9,0,6,3
5,56,1,0,0,1
5,57,21,1,17,4
5,58,11,0,8,3
5,59,15,1,7,6
5,60,14,0,10,4
5,61,25,1,15,9
5,62,5,0,4,1
5,63,2,0,1,1
5,64,0,0,0,0
5,65,4,0,4,1
5,66,13,0,10,4
5,67,14,0,13,3
5,68,2,0,2,0
5,69,10,0,6,4
5,70,2,0,2,0
5,71,3,0,3,0
5,72,11,0,8,3
5,73,14,1,8,5
5,74,3,0,1,2
5,75,19,2,11,5
5,76,25,0,16,11
5,77,10,0,7,3
5,78,81,1,66,14
5,79,12,0,9,2
5,80,14,0,13,1
5,81,19,0,18,1
5,82,13,0,13,0
5,83,1,0,0,1
5,84,13,0,10,3
5,85,2,0,2,0
5,86,14,0,11,4
5,87,9,0,4,5
5,88,11,1,8,2
5,89,18,0,14,5
5,90,18,0,12,5
5,91,9,0,7,1
5,92,17,1,10,8
5,93,23,1,13,8
5,94,30,0,22,8
5,95,28,0,24,3
5,96,42,1,30,16
5,97,47,0,44,13
5,98,189,3,157,54
5,99,390,6,317,106
5,100,35,2,31,2
5,101,138,1,97,42
5,102,16,0,15,1
5,103,16,0,12,5
5,104,22,0,19,3
5,105,25,1,18,6
5,106,5,0,4,1
5,107,12,0,9,2
5,108,17,0,14,3
5,109,145,7,100,44
5,110,31,2,19,8
5,111,64,2,44,19
5,112,28,2,23,6
5,113,14,2,15,1
5,114,10,0,4,6
5,115,11,0,11,3
5,116,32,0,19,12
5,117,49,0,27,20
5,118,8,0,7,1
5,119,14,0,10,5
5,120,7,0,5,2
5,121,25,0,15,10
5,122,25,0,20,4
5,123,16,0,10,5
5,124,19,0,16,5
5,125,31,0,30,1
5,126,10,0,7,3
5,127,21,0,14,7
5,128,31,0,32,8
5,129,16,0,12,6
5,130,7,0,8,0
5,131,53,0,38,15
5,132,25,1,17,8
5,133,58,0,49,11
5,134,26,2,20,4
5,135,39,1,29,10
5,136,90,3,72,20
5,137,110,5,93,19
5,138,21,0,19,4
5,139,26,1,19,7
5,140,50,0,42,11
5,141,48,0,41,8
5,142,7,1,7,0
5,143,26,2,24,4
5,144,24,0,22,2
5,145,26,0,23,3
5,146,15,0,11,4
5,147,4,0,4,0
5,148,46,2,33,9
5,149,26,0,18,6
5,150,20,0,20,1
5,151,10,0,7,3
5,152,0,0,0,0
5,153,26,1,17,7
5,154,13,0,12,1
5,155,6,0,4,2
5,156,32,0,31,1
