id,region,nodes,osmids,count
395,30,2245,1734,12
396,31,95,44,12
397,31,96,1631,12
398,31,98,45,12
399,31,104,48,12
400,31,1271,710,12
401,31,1272,1328,12
402,31,1273,722,12
403,31,1286,862,12
404,31,1466,843,12
405,31,1488,1327,12
406,31,2002,2448,12
407,31,2003,2446,12
408,32,107,50,12
409,32,144,68,12
410,32,147,69,12
411,32,1281,1961,12
412,32,1491,863,12
413,32,1492,1558,12
414,32,1493,868,12
415,32,1494,864,12
416,32,1495,865,12
417,32,1496,866,12
418,32,1498,1041,12
419,32,1499,1554,12
420,33,112,1281,13
421,33,119,1047,13
422,33,1711,1044,13
423,33,1712,1045,13
424,33,1713,1259,13
425,33,1920,1255,13
426,33,1921,1258,13
427,33,1922,1257,13
428,33,1924,1798,13
429,33,1925,2141,13
430,33,1926,1260,13
431,33,1927,1261,13
432,33,2345,2140,13
433,34,113,1046,12
434,34,114,53,12
435,34,115,1269,12
436,34,116,54,12
437,34,118,55,12
438,34,121,56,12
439,34,122,57,12
440,34,1918,1253,12
441,34,1919,1254,12
442,34,1932,1271,12
443,34,1933,1270,12
444,34,1934,1272,12
445,35,1069,600,16
446,35,1071,1203,16
447,35,1072,803,16
448,35,1409,802,16
449,35,1410,2157,16
450,35,1411,804,16
451,35,1412,805,16
452,35,1413,806,16
453,35,1414,2159,16
454,35,1449,1196,16
455,35,1570,913,16
456,35,1571,914,16
457,35,1572,915,16
458,35,1573,1836,16
459,35,2367,2158,16
460,35,2368,2075,16
461,36,90,41,12
462,36,91,965,12
463,36,92,1050,12
464,36,117,86,12
465,36,174,963,12
466,36,1629,964,12
467,36,1630,966,12
468,36,1633,1202,12
469,36,1634,2386,12
470,36,1860,1201,12
471,36,1863,1986,12
472,36,2471,2387,12
473,37,1500,904,15
474,37,1554,1562,15
475,37,1555,1217,15
476,37,1556,1048,15
477,37,1714,1298,15
478,37,1715,1289,15
479,37,1949,1287,15
480,37,1951,1835,15
481,37,1952,1288,15
482,37,1953,1987,15
483,37,1964,1982,15
484,37,1997,1559,15
485,37,2192,1561,15
486,37,2193,2451,15
487,37,2417,2214,15
488,38,83,37,16
489,38,84,38,16
490,38,86,43,16
491,38,88,1238,16
492,38,93,42,16
493,38,94,559,16
494,38,175,87,16
495,38,176,561,16
496,38,177,88,16
497,38,178,555,16
498,38,180,89,16
499,38,181,1237,16
500,38,1019,556,16
501,38,1020,562,16
502,38,1022,558,16
503,38,1628,1049,16
504,39,85,563,13
505,39,940,506,13
506,39,1023,564,13
507,39,1024,565,13
508,39,1632,1051,13
509,39,1716,1280,13
510,39,1861,1262,13
511,39,1892,2000,13
512,39,1899,1239,13
513,39,1900,1240,13
514,39,1901,2318,13
515,39,1902,1241,13
516,39,1942,1279,13
517,40,1265,788,12
518,40,1382,789,12
519,40,1385,1235,12
520,40,1887,1230,12
521,40,1888,1953,12
522,40,1889,1231,12
523,40,1890,1232,12
524,40,1891,1996,12
525,40,1893,1233,12
526,40,1894,1234,12
527,40,1895,1243,12
528,40,1906,1244,12
529,41,87,39,12
530,41,89,40,12
531,41,169,83,12
532,41,170,84,12
533,41,171,1227,12
534,41,172,85,12
535,41,173,1929,12
536,41,1855,1226,12
537,41,1884,1228,12
538,41,1885,1229,12
539,41,1886,1922,12
540,41,1907,1245,12
541,42,1442,829,12
542,42,1443,830,12
543,42,1444,2329,12
544,42,1445,1266,12
545,42,1446,2104,12
546,42,1569,912,12
547,42,1620,960,12
548,42,1621,1263,12
549,42,1622,2139,12
550,42,1624,2105,12
551,42,1928,1264,12
552,42,1929,1265,12
553,43,963,526,12
554,43,964,2252,12
555,43,965,1127,12
556,43,966,1194,12
557,43,967,527,12
558,43,968,528,12
559,43,969,1193,12
560,43,970,2155,12
561,43,971,529,12
562,43,972,2548,12
563,43,1799,2547,12
564,43,1851,2160,12
565,44,73,32,12
566,44,77,34,12
567,44,78,1191,12
568,44,1032,573,12
569,44,1447,831,12
570,44,1448,833,12
571,44,1452,834,12
572,44,1453,2261,12
573,44,1454,1198,12
574,44,1798,1128,12
575,44,1801,1190,12
576,44,1854,1197,12
