u,v,key,name,highway,ZMax44mm,ZMax54mm,ZMax71mm,ZMax86mm,ZMax20mm,ZMax198mm,flooded
1563,23,0,Korppaanmäentie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
1563,107,0,Korppaanmäentie,tertiary,0.24027611006762803,0.24027611006762803,0.24027611006762803,0.24027611006762803,0.24027611006762803,0.24027611006762803,
300,105,0,Vihdintie,primary_link,,,,,,,20
300,1590,0,Hakamäentie,primary_link,0.092611088828671,0.092611088828671,0.092611088828671,0.092611088828671,0.092611088828671,0.092611088828671,
300,191,0,Hämeenlinnanväylä,trunk,,,,,,,20
300,23,0,Mannerheimintie,primary,0.0,0.0,0.0,0.0,0.0,0.050575710833072995,
24,99,0,Haagan liikenneympyrä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
24,104,0,Vihdintie,primary,0.030208587646483997,0.030208587646483997,0.030208587646483997,0.030208587646483997,0.030208587646483997,0.030208587646483997,
99,173,0,Eliel Saarisen tie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
99,98,0,Haagan liikenneympyrä,primary,0.0,0.0,0.0,0.0,0.0,0.0,
104,170,0,Vihdintie,primary,0.034125328063965,0.034125328063965,0.034125328063965,0.034125328063965,0.034125328063965,0.034125328063965,
104,99,0,Vihdintie,primary,0.054464972970749,0.054464972970749,0.054464972970749,0.054464972970749,0.054464972970749,0.054464972970749,
104,103,0,Lapinmäentie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
111,120,0,Turunväylä,motorway,0.041954040527344,0.041954040527344,0.041954040527344,0.041954040527344,0.041954040527344,0.041954040527344,
111,25,0,Huopalahdentie,primary,0.0,0.0,0.0,0.0,0.0,0.0,
111,110,0,Huopalahdentie,primary,0.0,0.0,0.0,0.0,0.0,0.0,
26,1591,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
26,2330,0,Porvoonväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
1591,1166,0,Uusi Porvoontie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
1591,1816,0,Uusi Porvoontie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
1591,2330,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
2330,2041,0,Porvoonväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
27,26,0,Porvoonväylä,motorway,0.044796231847187,0.044796231847187,0.044796231847187,0.044796231847187,0.046128816991061,0.044796231847187,
28,1106,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
28,27,0,Porvoonväylä,motorway,,,,,0.0,,44
1106,27,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
1106,1192,0,Knutersintie,secondary,0.0,0.0,0.019013647077968997,0.019013647077968997,0.0,0.019013647077968997,
1106,2033,0,Knutersintie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
29,2581,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
29,2070,0,Porvoonväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
2070,28,0,Porvoonväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
30,29,0,Porvoonväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
31,2320,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
31,2429,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.25110653005752603,
2320,2287,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
2429,2432,0,,trunk_link,0.177394865424162,0.22738587704373003,,,0.030996619135862997,,71
32,33,0,Porvoonväylä,motorway,,,,,0.28074459729436896,,44
32,2262,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
33,599,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
33,30,0,Porvoonväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
2262,2169,0,Länsimäentie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
2262,2548,0,Länsimäentie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
599,75,0,,motorway_link,0.038285060723094,0.038285060723094,0.038285060723094,0.038285060723094,0.038285060723094,0.038285060723094,
599,74,0,,motorway_link,,,,,0.12453651428222699,,44
34,1191,0,,motorway_link,,,,,0.10072284286541902,,44
34,32,0,Porvoonväylä,motorway,,,,,,,20
1191,831,0,Maratontie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
1191,1190,0,Maratontie,secondary,0.127038119978828,0.127038119978828,0.127038119978828,0.127038119978828,0.127038119978828,0.127038119978828,
35,36,0,Lahdenväylä,motorway,0.07812547683715801,0.134299755096436,0.221222400665283,0.29622840881347695,0.0,,198
35,1638,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
36,2225,0,Lahdenväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
1638,1368,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
1638,1342,0,,motorway_link,0.102526531021855,0.158700809281132,0.24562345484998002,,0.008506059646606,,86
2225,2224,0,Lahdenväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
2225,34,0,Porvoonväylä,"['motorway_link', 'motorway']",,,,,0.27930316412065903,,44
37,38,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
38,563,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
38,43,0,Kehä III,trunk,,,,,0.232154846191406,,44
563,506,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
43,559,0,,motorway_link,,,,,,,20
43,42,0,Kehä III,trunk,,,,,0.217950177651171,,44
39,1238,0,,trunk_link,0.06576442718505901,0.11343038082122801,0.184239387512207,0.240005403757095,0.0,,198
39,37,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1238,37,0,,trunk_link,0.0,0.0,0.0,0.077605780486429,0.0,,198
1238,1239,0,Lahdentie,secondary,0.0,0.0,0.0,0.117323875427246,0.0,,198
1238,1237,0,Lahdentie,secondary,,,,,,,20
40,39,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
41,965,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.04646074792409,
41,1050,0,Kehä III,trunk,,,,,0.052393198013306,,44
965,966,0,Vanha Porvoontie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
965,964,0,Vanha Porvoontie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
965,1246,0,"['Sammaltie', 'Kuusikkotie']",tertiary,0.258299528475193,0.258299528475193,0.258299528475193,0.258299528475193,0.258299528475193,0.258299528475193,
1050,57,0,Kehä III,trunk,,,,,,,20
42,41,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
559,88,0,,motorway_link,,,,,,,20
44,1631,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
44,2482,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1631,2417,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
1631,779,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
2482,8,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
45,47,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
47,728,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
47,1339,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
46,1786,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
46,45,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1786,2417,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
1786,2446,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
728,1711,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
728,726,0,,motorway_link,,,,,,,20
1339,1630,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
48,44,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
49,1040,0,,trunk_link,0.0,0.0,0.008583952463345,0.058933152036934,0.0,,198
49,50,0,Kehä III,trunk,,,,,,,20
1040,1039,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
1040,50,0,,trunk_link,0.021019637584686,0.051140109115421,0.096212599210688,0.156577680044123,0.0,,198
50,51,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
51,1282,0,,trunk_link,0.27719030414032697,,,,0.16907387111592,,54
51,1043,0,Kehä III,trunk,0.057132467627525,0.08134451508522,0.14886609283594002,0.224982684527911,0.014939718121006,,198
1282,1042,0,,trunk_link,,,,,0.075984393812199,,44
1282,1015,0,,trunk_link,,,,,0.10195872128982598,,44
1043,52,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
52,1281,0,,trunk_link,,,,,,,20
52,1046,0,Kehä III,trunk,,,,,0.23577377838429503,,44
1281,1045,0,,trunk_link,,,,,,,20
1281,1044,0,,trunk_link,,,,,,,20
1046,53,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
53,1269,0,,trunk_link,,,,,,,20
53,54,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1269,1271,0,Heidehofintie,secondary,,,,,0.17587016676935996,,44
54,86,0,Kehä III,trunk,,,,,,,20
86,963,0,,trunk_link,,,,,,,20
86,87,0,Kehä III,trunk,,,,,,,20
55,1047,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
55,71,0,Kehä III,trunk,,,,,0.149408100609935,,44
1047,1217,0,Tikkuritie,secondary,0.014087677001953002,0.014087677001953002,0.014087677001953002,0.014087677001953002,0.014087677001953002,0.014087677001953002,
1047,71,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
1047,1044,0,Tikkuritie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
71,70,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
56,55,0,Kehä III,trunk,0.026664520712757003,0.026664520712757003,0.026664520712757003,0.026664520712757003,0.026664520712757003,0.026664520712757003,
57,1269,0,,trunk_link,0.0,0.0,0.078605234622955,0.15147422254085502,0.0,,198
57,56,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
58,477,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
58,59,0,Turunväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
477,478,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
477,487,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
59,1457,0,Turunväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
1457,119,0,Turunväylä,motorway,0.0,0.0,0.0,0.0,0.0,0.0,
60,1782,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1782,1781,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1782,2586,0,,construction,0.0,0.0,0.0,0.0,0.0,0.0,
61,626,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
61,60,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
626,60,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
626,494,0,Vihdintie,primary,0.0,0.0,0.0,0.0,0.0,0.0,
626,495,0,Vihdintie,primary,0.0,0.0,0.0,0.0,0.0,0.0,
62,1384,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
62,1381,0,Petikontie,"['secondary', 'trunk_link']",0.0,0.0,0.0,0.0,0.0,0.0,
1384,61,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1381,1384,0,Petikontie,"['secondary', 'trunk_link']",0.0,0.0,0.0,0.0,0.0,0.0,
1381,1380,0,Tiilipojanlenkki,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
1381,1382,0,Petikontie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
63,2180,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
2180,64,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
64,1632,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
64,65,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1632,639,0,Katriinantie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
1632,65,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
1632,640,0,"['Tuupakantie', 'Katriinantie']",secondary,0.0,0.0,0.0,0.0,0.0,0.0,
65,92,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
92,2215,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
92,2115,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
66,1020,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
66,46,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
1020,1023,0,Pakkalantie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
1020,1355,0,Pakkalantie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
67,727,0,,motorway_link,0.0,0.0,0.0,0.0,0.0,0.0,
67,48,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
727,726,0,,motorway_link,0.0,0.0,0.020123481750488,0.093173742294312,0.0,,198
727,1711,0,,motorway_link,,,,,,,20
68,1039,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.145595580339432,
68,90,0,Kehä III,trunk,,,,,0.115336576337967,,44
1039,868,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
1039,1038,0,,trunk_link,0.260178923606873,,,,0.0,,54
1039,1040,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
90,67,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
69,68,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
70,1016,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
70,69,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.084474002513592,
1016,1017,0,Suutarilantie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
1016,1015,0,Suutarilantie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
1016,69,0,,trunk_link,0.0,0.0,0.0,0.0,0.0,0.0,
72,75,0,Kehä III,trunk,,,,,0.13306264636068801,,44
75,76,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.0,
73,72,0,Kehä III,trunk,0.0,0.0,0.0,0.0,0.0,0.18007988078699105,
74,2114,0,Kehä III,trunk,0.232316939526476,,,,0.04909532526176,,54
2114,2320,0,Kehä III,trunk,0.112651501163054,0.162761841281462,0.237751636966276,0.298549805148649,0.0,,198
