u,v,key,weighted_centrality
793,1635,0,48990.85965969457
21,20,0,59889.567654151724
22,794,0,
22,1437,0,37494.80911606132
794,1735,0,38778.89591719905
1437,1436,0,33677.54287165532
1437,1728,0,3862.0693865609805
1735,841,0,29470.394869546464
1735,1448,0,9360.101420278801
1436,794,0,38727.29554457322
1728,1628,0,2718.59011794003
1728,1726,0,3940.55496460879
1728,1727,0,1324.9679380747723
1728,1436,0,5004.949530759031
1728,1793,0,282.0044797330693
23,1701,0,20071.628525331034
23,1563,0,1025.5158819296978
23,300,0,21829.58976852244
1701,298,0,20743.493398201612
1701,2142,0,1436.236095603726
1563,23,0,1094.648562816732
1563,107,0,
300,105,0,17713.291200991298
300,1590,0,8362.800228753453
300,191,0,21132.662288017575
300,23,0,20988.921932307523
298,2142,0,21533.617476594518
298,169,0,7495.491913914431
298,1861,0,14006.459501505
2142,1701,0,2151.961770451775
2142,23,0,20774.030999770603
107,1563,0,
107,170,0,1094.6485628167316
105,170,0,30997.193745851437
105,300,0,15420.678221199187
105,106,0,4983.171603683012
105,1774,0,13190.870312338153
1590,1773,0,8273.444073565195
1590,300,0,3531.2549529240105
191,316,0,3826.9282791566734
191,193,0,17330.88551382761
24,99,0,6900.065412923411
24,104,0,15062.07734290057
99,173,0,3796.6304204536386
99,98,0,18398.464204942942
104,170,0,26432.60801125362
104,99,0,15395.952343637893
104,103,0,13704.781541655726
173,1566,0,2685.092891185496
173,98,0,3682.142984119864
98,205,0,11205.89255538655
98,97,0,10773.791502507993
170,104,0,29225.675847100432
170,1969,0,28342.39127177828
170,107,0,1025.5158819296978
103,102,0,12971.249189291815
103,104,0,11176.456025660093
120,2028,0,2043.1203050562337
120,1799,0,14363.972858830834
110,101,0,14057.867236374776
110,109,0,5504.447644634618
110,1738,0,17428.515785311098
26,1591,0,3950.316088170513
26,2330,0,660.9510117027613
1591,1166,0,4157.606841657212
1591,1816,0,937.6437200361001
1591,2330,0,289.24999999999994
2330,2041,0,486.8075371013779
1166,1167,0,1881.0025292568498
1166,1591,0,557.66015625
1166,592,0,4248.80591119976
1816,2452,0,463.3934746013779
1816,2408,0,68.27083333333333
1816,1591,0,890.185645971679
27,26,0,4624.928428572199
28,1106,0,2350.5461222800195
28,27,0,4082.5248409219953
1106,27,0,533.374999999999
1106,1192,0,2468.617821189796
1106,2033,0,857.2606116923118
1192,2404,0,201.88387201034388
1192,1106,0,555.692708333333
1192,594,0,2450.7062464900255
2033,2032,0,779.1065376617458
2033,1106,0,943.9860146185993
29,2581,0,76.80027854090287
29,2070,0,6334.971437113757
2070,28,0,6424.042375550167
30,29,0,6405.636385706694
31,2320,0,1826.4475477952853
31,2429,0,189.4176587301581
2320,2287,0,6226.218542469121
2429,2432,0,461.1924817268246
