u,v,key,weighted_centrality
23,1701,0,24869.97456554407
23,1563,0,1171.910220626718
23,300,0,27055.28975872288
1701,298,0,25312.684085761866
1701,2142,0,1760.6806632909424
1563,23,0,1244.1967178479767
1563,107,0,
300,105,0,20973.397418047636
300,1590,0,11784.699201448871
300,191,0,28697.46885534236
300,23,0,26047.79880062191
298,2142,0,26262.801682401972
298,169,0,8875.63521387921
298,1861,0,17301.312861637052
2142,1701,0,2246.990000000012
2142,23,0,25732.89252920183
107,1563,0,
107,170,0,1244.1967178479747
105,170,0,40404.55945716457
105,300,0,18214.884872437735
105,106,0,5584.582826024793
105,1774,0,17157.307182503984
1590,1773,0,11623.058898497475
1590,300,0,4628.59226209863
191,316,0,4475.517306928258
191,193,0,24245.40078513609
24,99,0,8724.09064588441
24,104,0,16683.34581774659
99,173,0,4514.166667152168
99,98,0,21094.711879130486
104,170,0,33385.53812731017
104,99,0,17009.9145357719
104,103,0,21398.69083988355
173,1566,0,3179.221031333714
173,98,0,4364.865210988258
98,205,0,12761.351272849322
98,97,0,12573.099181893385
170,104,0,38529.690168434434
170,1969,0,35404.98041048529
170,107,0,1171.910220626718
103,102,0,20644.698829618217
103,104,0,16508.82101955457
120,2028,0,2150.957599685663
120,1799,0,27532.844577539458
110,101,0,21066.644722947498
110,109,0,6736.214461746132
110,1738,0,28094.78532109086
26,1591,0,20875.738386000263
26,2330,0,3746.045197357782
1591,1166,0,21785.502491962263
1591,1816,0,4779.545197357784
1591,2330,0,1135.6249999999998
2330,2041,0,2487.049942428893
1166,1167,0,10287.425493394585
1166,1591,0,2162.4648437499995
1166,592,0,22918.05626843988
1816,2452,0,2394.6202549288914
1816,2408,0,179.11979166666674
1816,1591,0,4689.736024943186
27,26,0,24649.050148732913
28,1106,0,2669.988353415025
28,27,0,22892.50470259326
1106,27,0,1739.5173611111059
1106,1192,0,2810.847195675693
1106,2033,0,1143.9520838230699
1192,2404,0,265.01648418983115
1192,1106,0,1759.4444444444398
1192,594,0,2790.7540601756245
2033,2032,0,1011.0156792758496
2033,1106,0,1247.8557577226388
29,2581,0,107.869162087911
29,2070,0,25397.595982330935
2070,28,0,25545.464970981066
30,29,0,25485.46523113803
31,2320,0,8197.948210745417
31,2429,0,529.7640796703294
2320,2287,0,14590.436674232651
2429,2432,0,834.0372132973218
2287,1245,0,18053.62889150303
2432,2287,0,3441.6447394823517
2432,2454,0,768.100206043967
32,33,0,17765.557339797215
32,2262,0,1821.7459756949213
33,599,0,3232.4078758480446
33,30,0,14528.275409660673
2262,2169,0,4761.684419648071
2262,2548,0,4780.470959371132
599,75,0,2354.22443439198
599,74,0,873.3093871712758
2169,2170,0,3652.480350470542
2169,2262,0,3650.1804488556654
2169,597,0,1296.8531519122678
2548,2547,0,696.7299188964643
2548,529,0,4230.884585043065
2548,2262,0,4075.1030087547056
75,76,0,13806.349173574365
74,2114,0,8993.683816657298
34,1191,0,5914.627064307728
34,32,0,19581.803870575488
1191,831,0,6599.903794521862
